rank,lead_name,college_market,city_state,lead_type,source_url,public_contact_path,paid_evidence,size_fit,why_prioritize,outreach_angle,status
11,Rebel Tailgate,Ole Miss Rebels,"Oxford, MS",full-service paid tailgate vendor,https://rebeltailgate.com/,"Website order/contact paths","Website says 2026 reservations are open and sells Ole Miss Grove tailgate packages with setup, takedown, equipment, and optional services.","Small-to-medium private groups; package-based rather than public ticket sales.","Approved Ole Miss vendor serving paid tailgate reservations in one of the country's strongest tailgate markets.","Pitch TailgateTime as guest-facing ticket/RSVP and check-in layer for customers who want to invite groups.",not_contacted
12,Ole Miss Alumni Association / The Grove Collective Tailgate,Ole Miss Rebels,"Oxford, MS",paid alumni/NIL tailgate host,https://tailgreeter.com/official-ole-miss-vs-alabama-tailgate-party-hosted-by-ole-miss-alumni-the-grove-collective,"Tailgreeter Contact Host","Tailgreeter listing shows $75 all-inclusive tickets, local food, drinks, DJ, games, player meet-and-greet, and family-friendly tickets.","Large/monster; strong premium host lead.","Official-style alumni/NIL tailgate shows demand for ticketed college tailgating and special guest experiences.","Pitch check-in, attendee messaging, sponsor/NIL callouts, and group ticket packages.",not_contacted
13,TFM Tailgate Tour - Athens,Georgia Bulldogs,"Athens, GA",paid college tailgate tour host,https://www.tailgreeter.com/tfm-tailgate-tour-ole-miss-rebels-georgia-bulldogs,"Tailgreeter Contact Host","Tailgreeter Athens listing includes paid access, tent-with-10-ticket package, unlimited drinks, DJ, games, and near-stadium location.","Large/monster; include as college-market operator lead.","Social-first college tailgate tour with paid packages and repeat road-game playbook.","Pitch TailgateTime for chapter/fraternity/sorority group links, ticket bundles, and mobile check-in.",not_contacted
14,Surlyhorns Surly Stampede to Athens,Texas Longhorns / Georgia Bulldogs,"Athens, GA",paid road-game tailgate host,https://tailgreeter.com/texas-georgia-road-tailgate-surly-stampede-to-athens,"Tailgreeter Contact Host","Tailgreeter listing shows $130 all-inclusive road tailgate in Athens with drinks and menu.","Large/monster; good traveling-fan host lead.","Traveling fan community with a paid away-game tailgate format that can repeat in multiple college towns.","Pitch TailgateTime for road-game host pages, ticket transfers, check-in, and guest updates.",not_contacted
15,World's Largest Outdoor Cocktail Party Tailgate,Georgia Bulldogs / Florida Gators,"Jacksonville, FL",paid rivalry tailgate host,https://www.tailgreeter.com/2025-worlds-largest-outdoor-cocktail-party-florida-gators-vs-georgia-bulldogs-tailgate-party,"Tailgreeter Contact Host","Tailgreeter listing shows $100 all-inclusive ticket, food, drinks, TV, bathroom, games, and covered seating.","Large/monster; high-value rivalry event rather than medium.","Not a college town, but too relevant to ignore for Georgia/Florida host acquisition because it is a major annual paid college tailgate.","Pitch TailgateTime for rivalry-event check-in, group sales, sponsor visibility, and post-event reactivation.",not_contacted
16,Team PIER Foundation White Out Tailgate,Penn State Nittany Lions,"State College, PA",paid charity/foundation tailgate host,https://www.eventbrite.com/e/penn-state-v-oregon-white-out-tailgate-fundraiser-tickets-1454943638589,"Eventbrite Contact organizer","Eventbrite listing promotes Penn State vs Oregon White Out tailgate fundraiser with food, music, prizes, and purpose.","Medium likely; verify ticket tiers and capacity.","High-emotion Penn State game-day fundraiser with public ticketing and a clear need for donor/guest follow-up.","Pitch TailgateTime for fundraising ticket sales, sponsor notes, check-in, and supporter list export.",not_contacted
17,FIU Alumni Panther Fan Tailgate at Penn State,Penn State Nittany Lions,"State College, PA",paid alumni tailgate host,https://happeningnext.com/event/fiu-alumni-panther-fan-tailgate-at-penn-state-eid1ef0a6aeejbr,"FIU Alumni / Eventbrite organizer path","Listing shows $25 tickets for brunch fare and drink tickets before FIU at Penn State.","Small-to-medium; verify direct Eventbrite listing/current activity.","Good model for visiting alumni groups paying for away-game tailgate access in major college towns.","Pitch TailgateTime as the away-game alumni tailgate RSVP/ticket/check-in page.",not_contacted
18,Penn State v OSU Tailgate,Penn State Nittany Lions,"State College, PA",paid premium tailgate host,https://tailgreeter.com/penn-state-v-osu-tailgate,"Tailgreeter Contact Host","Tailgreeter listing shows all-you-can-eat brunch, premium open bar, games, giveaways, and Medlar Field location.","Large/monster and older; verify current host before outreach.","Past premium State College paid tailgate proves this market supports ticketed public events near Beaver Stadium.","Use as a source lead to identify the organizer and pitch current 2026 Penn State game-day pilots.",not_contacted
19,San Antonio Citadel Alumni Club Aggie/Bulldog Tailgate,Texas A&M Aggies,"College Station, TX",paid alumni/charity tailgate host,https://www.eventbrite.com/e/2026-aggiebulldog-tailgate-tickets-1981823909663,"Eventbrite Contact organizer","2026 Eventbrite listing shows $35 adult wristbands, $25 ages 13-20, scholarship proceeds, food, drinks, and location near Kyle Field.","Strong medium fit; scholarship tailgate likely manageable group size.","Current 2026 paid tailgate with clear ticket tiers, wristbands, scholarship cause, and food/headcount needs.","Pitch TailgateTime as the all-in-one wristband replacement: ticket sales, QR check-in, guest details, and donation tracking.",not_contacted
20,LSU Alumni Association Tiger Nation Tailgate at Texas A&M,Texas A&M Aggies / LSU Tigers,"College Station, TX",paid alumni tailgate host,https://givebutter.com/TigerNationTailgateTexasAM,"LSU Alumni Association / sponsorship email path on page","Givebutter page shows paid general admission for food and premium open bar, all-ages admission, and sponsorship inquiry path.","Medium likely; verify current away-game schedule.","Alumni association tailgate with paid tickets and sponsor opportunities in a major SEC road-game market.","Pitch TailgateTime for alumni ticketing, check-in, sponsor callouts, and repeat road-game pages.",not_contacted
21,Kyle Gruber Texas vs Texas A&M Tailgate,Texas Longhorns,"Austin, TX",donation-supported independent tailgate host,https://www.eventbrite.com/e/texas-vs-texas-am-football-tailgate-tickets-1972903377110,"Eventbrite Contact organizer","Eventbrite listing asks for $10 donation per person to keep the tailgate going and includes beer, seltzers, local spirits, music, and TV.","Medium likely; donation model, not formal paid tickets.","Independent Austin host with public organizer path and a rivalry event that could convert to paid ticketing.","Pitch founding promo as a way to test 10 paid tickets at $25+ while keeping the community feel.",not_contacted
22,University of South Carolina Alumni Tailgate Series,South Carolina Gamecocks,"Columbia, SC",paid alumni tailgate series host,https://uscalumni.com/tailgates/,"USC Alumni Association contact paths","Official alumni page lists home and road tailgates, member discounts, and a season tailgate series.","Medium-to-large depending game.","Repeat college-town tailgate series with membership rules, discounted tickets, sponsors, TVs, DJ, and guest entry needs.","Pitch TailgateTime for membership-aware event pages, ticket check-in, and sponsor visibility.",not_contacted
23,USC Alumni Home Tailgates Member Bundle,South Carolina Gamecocks,"Columbia, SC",paid alumni tailgate bundle,https://www.eventbrite.com/e/usc-alumni-home-tailgates-member-bundle-tickets-1381964044659,"Eventbrite Contact organizer","Eventbrite listing sells a four-home-tailgate bundle around $55-$61 with membership verification and one ticket for the season.","Strong medium fit; repeat home-game bundle.","Great fit for TailgateTime because it already has season tickets, membership validation, and repeat check-in.","Pitch season-long TailgateTime host page with one ticket/check-in flow across all home tailgates.",not_contacted
24,USC vs Kentucky Alumni Association Tailgate,South Carolina Gamecocks,"Columbia, SC",paid alumni tailgate host,https://happeningnext.com/event/usc-vs-kentucky-alumni-association-tailgate-eid1ef09anckc3r,"USC Alumni Association / Eventbrite organizer path","Listing shows tickets up to $28.52 and includes snacks, water, sodas, cash bar, DJ, TVs, and Gamecock Park location.","Medium likely; recurring official alumni format.","Single-game tailgate format with paid tickets and a repeatable template across home games.","Pitch TailgateTime for individual game pages plus season-bundle upsell.",not_contacted
25,The Tailgate Group / Gamecock Club Tailgate Packages,South Carolina Gamecocks,"Columbia, SC",full-service paid tailgate provider,https://thegamecockclub.com/catchagame/,"Gamecock Club / Tailgate Packages order path","Gamecock Club page says fans can order turnkey customized tailgating services at Gamecock Park through The Tailgate Group.","Small-to-medium private groups; package-based rather than public ticket sales.","A vendor partner lead for hosts who need setup but still need guest RSVPs, ticketing, and check-in.","Pitch TailgateTime as the guest-facing add-on for each customer tailgate.",not_contacted
26,Alabama National Alumni Association - Tailgating with the Tide,Alabama Crimson Tide,"Columbia, SC",paid alumni road-game tailgate host,https://www.eventbrite.com/e/tailgating-with-the-tide-south-carolina-tickets-1553282452629,"Eventbrite Contact organizer","Eventbrite listing shows tickets from $76.54 with food, beer/wine, swag, big-screen TVs, and special guests before Alabama at South Carolina.","Medium likely; verify capacity.","Alabama alumni road-game tailgates are high-intent paid events with clear guest communication needs.","Pitch TailgateTime for road-game tailgate ticketing and one branded alumni-host page.",not_contacted
27,Gameday For Heroes Auburn A-Day Tailgate,Auburn Tigers,"Auburn, AL",charity all-inclusive tailgate host,https://gamedayforheroes.org/,"Website registration/contact path","Website promotes Auburn A-Day Spring Game Tailgate on 4/18/26 as an all-inclusive tailgate supporting military/veterans.","Medium likely; verify registration count.","Current 2026 charity tailgate with a mission-driven host and likely need for registration, check-in, and donations.","Pitch TailgateTime as a simple event page for ticket sales, check-in, and donor follow-up.",not_contacted
28,REVELxp Auburn,Auburn Tigers,"Auburn, AL",full-service paid tailgate provider,https://revelxp.com/auburn-main-campus?selectedEvent=2318,"Website booking/contact path","REVELxp Auburn page promotes full-service tailgating with setup, cleanup, equipment, and on-site customer service.","Small-to-medium private groups; large vendor network.","Major college-town vendor with many customer tailgates that still need guest RSVPs and host communication.","Pitch partnership or integration-style conversation, not a standard small-host email.",not_contacted
29,REVELxp Alabama,Alabama Crimson Tide,"Tuscaloosa, AL",full-service paid tailgate provider,https://revelxp.com/home/alabama,"Website booking/contact path","REVELxp Alabama page promotes official full-service tailgating, hospitality, and ticket packages.","Small-to-medium private groups; large vendor network.","High-volume paid tailgate provider in Tuscaloosa; useful for partnership, competitive research, and customer-intake ideas.","Pitch cautiously as partnership/channel: TailgateTime can help their customers manage guest lists and check-in.",not_contacted
30,The Clemson Corps Military Tailgate,Clemson Tigers,"Clemson, SC",public community tailgate host,https://www.eventbrite.com/e/the-clemson-corps-military-tailgate-tickets-1777648647959,"Eventbrite Contact organizer","Eventbrite listing exists for Clemson Corps Military Tailgate; pricing and capacity require manual verification after sales page opens.","Verify; include as targeted Clemson community lead.","Clemson has fewer obvious public paid independent hosts, but this is a real public tailgate organizer with a strong affinity group.","Verify paid status first; if paid or donation-based, pitch TailgateTime for registration, check-in, and supporter follow-up.",not_contacted
