priority,lead_name,category,location,source_url,public_contact_path,why_this_is_a_fit,suggested_offer,first_message_angle,status
4,Bigham Tavern,sports bar / private events,"321 Bigham St, Pittsburgh, PA",https://bighamtavern.com/,"412-431-9313 / website private events inquiry","Known Pittsburgh sports bar with game-day specials, multiple event spaces, catering, and local fan atmosphere.","Pitch TailgateTime for private Steelers watch groups, fundraisers, and neighborhood fan meetups.","Bigham already hosts Pittsburgh sports crowds and private events. TailgateTime could give fan groups a simple event link for Steelers Sundays.",not_contacted
4,Birmingham Bridge Tavern,sports bar / private events,"2901 Sarah Street, Pittsburgh, PA",https://www.birminghambridgetavern.com/,"info@birminghambridgetavern.com / 412-381-2739","South Side tavern with sports viewing, patio, private party room, newsletter, and public contact path.","Offer TailgateTime as a low-friction RSVP page for watch parties, charity games, and private football groups.","Saw Birmingham Bridge Tavern positions itself for sports viewing and private events. TailgateTime could help convert Steelers groups into organized recurring hosts.",not_contacted
4,William Penn Tavern,sports bar / group venue,"3810 Butler St, Pittsburgh, PA",https://www.wmpenntavern.com/contact,"Website contact form / 412-621-1000","Lawrenceville tavern listed among Pittsburgh Steelers watch spots with direct contact form and group-friendly bar setting.","Offer TailgateTime for watch-party RSVPs, group table interest, and fan-hosted recurring events.","William Penn Tavern is already on the short list for Steelers watch crowds. TailgateTime could help regulars organize game-day groups with one shared link.",not_contacted
4,Cork Harbour Pub,Irish pub / sports community venue,"181 43rd Street, Pittsburgh, PA",https://www.corkharbourpgh.com/,"corkharbourpgh@gmail.com / 412-223-5725","Community-focused Irish pub with 20 TVs noted in local Steelers watch-party coverage and direct public contact info.","Offer TailgateTime for special watch parties, group RSVPs, and fan meetups with a family-friendly angle.","Saw Cork Harbour is a strong Steelers watch-party fit with a community pub feel. TailgateTime could make game-day groups easier to host and find.",not_contacted
4,Tequila Cowboy Pittsburgh,North Shore entertainment venue,"380 North Shore Dr, Pittsburgh, PA",https://tequilacowboy.com/pittsburgh/,"412-930-0895 / Book an Event inquiry","Large North Shore venue with multiple rooms, big-screen sports viewing, live music, karaoke, private events, and early Steelers event openings.","Offer TailgateTime for group packages, private parties, and North Shore game-day event discovery.","Tequila Cowboy already has the space and game-day traffic. TailgateTime could help fans turn a pregame plan into a hosted event with RSVPs.",not_contacted
4,Jason Aldean's Kitchen & Bar Pittsburgh,North Shore entertainment venue,"393 North Shore Dr, Pittsburgh, PA",https://www.visitpittsburgh.com/directory/jason-aldeans-kitchen-bar/,"412-730-3078 / website inquiry","North Shore live-music and food venue that local coverage notes opened early for Steelers game-day crowds.","Pitch TailgateTime for private groups, pregame brunches, and live-music game-day event pages.","Saw Jason Aldean's is leaning into North Shore game-day traffic. TailgateTime could help groups coordinate brunch, pregame, and watch-party plans.",not_contacted
4,Gateway Clipper Fleet,game-day shuttle / private event host,"350 West Station Square Drive, Pittsburgh, PA",https://www.gatewayclipper.com/shuttle-service/,"info@gatewayclipper.com / 412-355-7980","Provides shuttle service to every Steelers home game and hosts private events and party boat experiences for groups.","Offer TailgateTime for sailgate/private boat group RSVPs, shuttle meetup pages, and pregame coordination.","Gateway Clipper is already part of Steelers game-day logistics. TailgateTime could help groups coordinate sailgate plans and arrivals from one link.",not_contacted
4,Alco Parking / North Shore Parking,parking operator / tailgate lot source,"North Shore, Pittsburgh, PA",https://alcoparking.com/acrisure-stadium-pnc-park/steelers-parking/,"customerservice@alcoparking.com / 412-323-4455","Operates North Shore Steelers parking with lot guides, season customers, and explicit tailgating policies for surface lots.","Pitch a lot-partner pilot: QR signs for hosts, group meetup pages, and tailgate-zone discovery without touching parking payments.","Alco already manages where many Steelers tailgates happen. TailgateTime could help groups find each other and organize plans without changing parking operations.",not_contacted
3,Rivers Casino Pittsburgh,parking + North Shore group venue,"777 Casino Dr, Pittsburgh, PA",https://www.riverscasino.com/pittsburgh/visit/event-parking,"412-231-7777 / website group events inquiry","Provides event parking near Acrisure plus meetings/events space and group options on the North Shore.","Offer TailgateTime for pregame group meetups, private events, and parking-adjacent gathering plans.","Rivers is already a North Shore arrival point for game-day crowds. TailgateTime could help fan groups organize meetups before heading to Acrisure.",not_contacted
3,Steelers Nation Unite Fan Clubs & Bars,official fan club / bar directory,"Pittsburgh Steelers official fan network",https://www.steelers.com/fans/snufanclubs/,"Submit/find bar or fan club through official page","Official program for fan clubs and Steelers bars; useful for finding verified group leaders and public gathering places beyond individual private profiles.","Use as an ongoing source list for public bars and clubs to invite into TailgateTime as hosts.","Steelers Nation Unite shows there are already organized fan groups and bars. TailgateTime can give those hosts a practical event page for each game.",not_contacted
3,Steelers Group Tickets & Hospitality,official hospitality / premium tailgate,"Acrisure Stadium, Pittsburgh, PA",https://www.steelers.com/tickets/group-tickets/,"Request More Information / group sales inquiry","Official Steelers group hospitality includes Art Rooney Avenue Tailgate, Terrace Tailgate, and group ticket packages for 10+ people.","Treat as partnership/benchmark lead; study package language and explore whether TailgateTime can support unofficial group planning around official hospitality.","Your official group tailgate products show strong demand for organized game-day hosting. TailgateTime could complement that demand for smaller fan-led groups.",not_contacted
3,SteelHERS Social / Women of Steel,official fan event / community segment,"Acrisure Stadium, Pittsburgh, PA",https://www.steelers.com/schedule/event-calendar/steelhers-social/,"Steelers event page / Women of Steel signup","Large recurring women-focused fan event with tailgate-like atmosphere, games, photo ops, giveaways, and community building.","Use as a segment model for inclusive TailgateTime host recruitment: women's groups, family groups, and community-driven hosts.","SteelHERS shows how strong the social side of Steelers fandom is. TailgateTime could help smaller community hosts create the same welcoming game-day energy.",not_contacted
3,South Side BBQ Company,caterer / food truck,"75 South 17th Street, Pittsburgh, PA",https://southsidebbqcompany.com/,"patjoyce2312@gmail.com / 412-381-4566","Food truck and catering operation named by Gameday Hospitality as part of Pittsburgh tailgate food, with public catering contact.","Offer TailgateTime as a way for tailgate hosts to list catering partners and collect food headcount before game day.","Saw South Side BBQ already serves tailgate-style catering. TailgateTime could help hosts coordinate food counts and vendor visibility before Steelers games.",not_contacted
3,Hot Ash Wood Fired Pizza,food truck / event vendor,"Vandergrift, PA / Pittsburgh-area events",https://www.shopvandergrift.com/directory/hot-ash-wood-fired-pizza/,"hotashpizza50@gmail.com / 724-596-6459","Appears at Pittsburgh Brewing football watch parties and has public food-truck contact info for events.","Offer TailgateTime as a vendor-friendly way to connect with hosts planning game-day food needs.","Saw Hot Ash is already showing up at football watch events. TailgateTime could connect vendors with hosts who need food for Steelers game days.",not_contacted
3,Cinderlands Beer Company,brewery / tailgate sponsor,"Pittsburgh, PA",https://www.cinderlands.com/events/terrible-tailgate/,"Website event inquiry / plan your event","Public events calendar shows Cinderlands participating in Terrible Tailgate and the brewery actively hosts its own public events.","Pitch TailgateTime for sponsor/vendor visibility at public tailgates and brewery-hosted game-day events.","Cinderlands already participates in Steelers tailgate culture. TailgateTime could help surface sponsor/vendor involvement inside host event pages.",not_contacted
